codigo_ocorrencia2;aeronave_matricula;aeronave_operador_categoria;aeronave_tipo_veiculo;aeronave_fabricante;aeronave_modelo;aeronave_tipo_icao;aeronave_motor_tipo;aeronave_motor_quantidade;aeronave_pmd;aeronave_pmd_categoria;aeronave_assentos;aeronave_ano_fabricacao;aeronave_pais_fabricante;aeronave_pais_registro;aeronave_registro_categoria;aeronave_registro_segmento;aeronave_voo_origem;aeronave_voo_destino;aeronave_fase_operacao;aeronave_tipo_operacao;aeronave_nivel_dano;aeronave_fatalidades_total
82762;PRATV;***;AVIÃO;AEROSPATIALE AND ALENIA;ATR-72-212A;AT72;TURBOÉLICE;BIMOTOR;23000;23000;75;2012;BRASIL;BRASIL;AVIÃO;REGULAR;VIRACOPOS;LAURO CARNEIRO DE LOYOLA;POUSO;REGULAR;NENHUM;0
82761;PRYRS;***;AVIÃO;AIRBUS S.A.S.;A320-253N;A20N;JATO;BIMOTOR;77000;77000;NULL;2018;BRASIL;BRASIL;AVIÃO;REGULAR;NÃO IDENTIFICADO;VIRACOPOS;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82760;PRAXG;***;AVIÃO;EMBRAER;ERJ 190-200 IGW;E190;TURBOEIXO;BIMOTOR;52290;52290;125;2012;BRASIL;BRASIL;AVIÃO;REGULAR;PRESIDENTE JUSCELINO KUBITSCHEK;MARECHAL RONDON;DECOLAGEM;REGULAR;NENHUM;0
82759;PRMHG;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2007;BRASIL;BRASIL;AVIÃO;REGULAR;CONGONHAS;SALGADO FILHO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82758;PRGTC;***;AVIÃO;BOEING COMPANY;737-8EH;B738;JATO;BIMOTOR;79000;79000;194;2006;BRASIL;BRASIL;AVIÃO;REGULAR;VIRACOPOS;ANTONIO CARLOS JOBIM / GALEÃO;DECOLAGEM;REGULAR;NENHUM;0
82757;PRMYW;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2012;BRASIL;BRASIL;AVIÃO;REGULAR;DEPUTADO LUÍS EDUARDO MAGALHÃES;GOVERNADOR ANDRÉ FRANCO MONTORO;DECOLAGEM;REGULAR;***;0
82756;PRTQC;***;AVIÃO;PIPER AIRCRAFT;PA-31;PA31;;BIMOTOR;2948;2948;0;0;BRASIL;BRASIL;AVIÃO;REGULAR;GOVERNADOR ANDRÉ FRANCO MONTORO;GOVERNADOR JOSÉ RICHA;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82755;PRMYY;***;AVIÃO;AIRBUS INDUSTRIE;A320-214;A320;JATO;BIMOTOR;77000;77000;184;2013;BRASIL;BRASIL;AVIÃO;REGULAR;PRESIDENTE JUSCELINO KUBITSCHEK;CONGONHAS;POUSO;REGULAR;NENHUM;0
82754;PTMXB;***;AVIÃO;AIRBUS INDUSTRIE;A321-231;A321;JATO;BIMOTOR;89000;89000;232;2007;BRASIL;BRASIL;AVIÃO;REGULAR;PRESIDENTE JUSCELINO KUBITSCHEK;ANTONIO CARLOS JOBIM / GALEÃO;APROXIMAÇÃO FINAL;REGULAR;NENHUM;0
82753;PRXBE;***;AVIÃO;AIRBUS S.A.S.;A320-273N;A20N;JATO;BIMOTOR;79000;79000;183;2019;BRASIL;BRASIL;AVIÃO;REGULAR;CONGONHAS;SANTA GENOVEVA/GOIÂNIA;POUSO;REGULAR;NENHUM;0
